RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2016-06-30
590,979,Lamar County,County,TX,TX,Paris,48,277,90449
1536,980,Bedford County,County,PA,PA,,42,9,131255
1794,981,Jackson County,County,FL,FL,,12,63,84228
1038,982,Gibson County,County,TN,TN,,47,53,71530
1668,983,Dickson County,County,TN,TN,Nashville-Davidson--Murfreesboro--Franklin,47,43,140127
205,984,Kerr County,County,TX,TX,Kerrville,48,265,197642
103,985,Boyd County,County,KY,KY,Huntington-Ashland,21,19,74869
556,986,Henry County,County,IN,IN,New Castle,18,65,81116
1387,987,Shelby County,County,OH,OH,Sidney,39,149,120368
2215,988,Columbia County,County,OR,OR,Portland-Vancouver-Hillsboro,41,9,251641
2224,989,Cortland County,County,NY,NY,Cortland,36,23,110994
2279,990,Franklin County,County,KY,KY,Frankfort,21,73,133106
1060,991,Greene County,County,NY,NY,,36,39,172588
1624,992,Clinton County,County,IA,IA,Clinton,19,45,128493
1580,993,Calumet County,County,WI,WI,Appleton,55,15,171696
2119,994,Allegany County,County,NY,NY,,36,3,63975
3273,995,Harrisonburg City,County,VA,VA,Harrisonburg,51,660,178803
2857,996,Val Verde County,County,TX,TX,Del Rio,48,465,108021
156,997,Elko County,County,NV,NV,Elko,32,7,242948
1476,998,Warren County,County,MS,MS,Vicksburg,28,149,115869
2758,999,Jessamine County,County,KY,KY,Lexington-Fayette,21,113,146763
1151,1000,Loudon County,County,TN,TN,Knoxville,47,105,197139
1944,1001,Newaygo County,County,MI,MI,,26,123,107428
1851,1002,Laurens County,County,GA,GA,Dublin,13,175,91501
465,1003,Curry County,County,NM,NM,Clovis,35,9,144536
2248,1004,Delaware County,County,NY,NY,,36,25,138606
1598,1005,Carroll County,County,NH,NH,,33,3,229690
3118,1006,Queen Annes County,County,MD,MD,Baltimore-Columbia-Towson,24,35,293501
2396,1007,Macoupin County,County,IL,IL,St. Louis,17,117,81913
2137,1008,Beaufort County,County,NC,NC,Washington,37,13,122319
2293,1009,Franklin County,County,VT,VT,Burlington-South Burlington,50,11,197950
1942,1010,Navarro County,County,TX,TX,Corsicana,48,349,91356
3034,1011,Stephenson County,County,IL,IL,Freeport,17,177,60253
2818,1012,Oktibbeha County,County,MS,MS,Starkville,28,105,165087
922,1013,Carter County,County,OK,OK,Ardmore,40,19,83409
654,1014,Noble County,County,IN,IN,Kendallville,18,113,112855
662,1015,Osage County,County,OK,OK,Tulsa,40,113,98367
3024,1016,Santa Cruz County,County,AZ,AZ,Nogales,4,23,135409
1401,1017,Stokes County,County,NC,NC,Winston-Salem,37,169,132173
2772,1018,Lafayette County,County,MS,MS,Oxford,28,71,168085
710,1019,Scott County,County,KY,KY,Lexington-Fayette,21,209,163704
3058,1020,Washington Parish,County,LA,LA,Bogalusa,22,117,94307
2408,1021,Marshall County,County,IN,IN,Plymouth,18,99,133193
1677,1022,Douglas County,County,NV,NV,Gardnerville Ranchos,32,5,353896
2192,1023,Cherokee County,County,OK,OK,Tahlequah,40,21,97470
181,1024,Hoke County,County,NC,NC,Fayetteville,37,93,147128
1779,1025,Hopkins County,County,KY,KY,Madisonville,21,107,77722
1713,1026,Fremont County,County,CO,CO,Cañon City,8,43,196313
1869,1027,Lincoln Parish,County,LA,LA,Ruston,22,61,132671
3157,1028,Chesterfield County,County,SC,SC,,45,25,89001
2240,1029,Culpeper County,County,VA,VA,Washington-Arlington-Alexandria,51,47,268624
2725,1030,Hillsdale County,County,MI,MI,Hillsdale,26,59,112984
1931,1031,Mifflin County,County,PA,PA,Lewistown,42,87,88276
2510,1032,Richmond County,County,NC,NC,Rockingham,37,153,61690
76,1033,Kay County,County,OK,OK,Ponca City,40,71,58979
3104,1034,Mississippi County,County,AR,AR,Blytheville,5,93,44841
1717,1035,Gadsden County,County,FL,FL,Tallahassee,12,39,96468
2718,1036,Henderson County,County,KY,KY,Evansville,21,101,100880
1471,1037,Warren County,County,IA,IA,Des Moines-West Des Moines,19,181,177827
1727,1038,Goodhue County,County,MN,MN,Red Wing,27,49,170829
193,1039,Iron County,County,UT,UT,Cedar City,49,21,193829
2381,1040,Lawrence County,County,IN,IN,Bedford,18,93,89893
2172,1041,Campbell County,County,WY,WY,Gillette,56,5,255845
1562,1042,Buffalo County,County,NE,NE,Kearney,31,19,167348
1706,1043,Fayette County,County,WV,WV,Beckley,54,19,73017
1880,1044,Lincoln County,County,OR,OR,Newport,41,41,245222
1192,1045,Medina County,County,TX,TX,San Antonio-New Braunfels,48,325,194155
682,1046,Perry County,County,PA,PA,Harrisburg-Carlisle,42,99,161525
2134,1047,Auglaize County,County,OH,OH,Wapakoneta,39,11,116262
3285,1048,Saint John the Baptist Parish,County,LA,LA,New Orleans-Metairie,22,95,139533
2938,1049,Huntingdon County,County,PA,PA,Huntingdon,42,61,103397
851,1050,Barron County,County,WI,WI,,55,5,131973
611,1051,Logan County,County,OH,OH,Bellefontaine,39,91,118131
2827,1052,Pittsburg County,County,OK,OK,McAlester,40,121,76442
1526,1053,Baldwin County,County,GA,GA,Milledgeville,13,9,119548
1545,1054,Bingham County,County,ID,ID,Blackfoot,16,11,146137
2643,1055,Calaveras County,County,CA,CA,,6,9,293740
2210,1056,Colquitt County,County,GA,GA,Moultrie,13,71,77778
781,1057,Vance County,County,NC,NC,Henderson,37,181,73437
294,1058,Polk County,County,TX,TX,,48,373,104249
889,1059,Branch County,County,MI,MI,Coldwater,26,23,102235
2752,1060,Jefferson County,County,PA,PA,,42,65,70016
1317,1061,Phelps County,County,MO,MO,Rolla,29,161,125193
2573,1062,Tazewell County,County,VA,VA,Bluefield,51,185,87061
1537,1063,Bedford County,County,TN,TN,Shelbyville,47,3,134664
1113,1063,Itasca County,County,MN,MN,Grand Rapids,27,61,147477
2558,1065,Stephens County,County,OK,OK,Duncan,40,137,75352
2421,1066,McDowell County,County,NC,NC,Marion,37,111,128712
775,1067,Union County,County,PA,PA,Lewisburg,42,119,158524
2129,1068,Atascosa County,County,TX,TX,San Antonio-New Braunfels,48,13,126417
2548,1069,Siskiyou County,County,CA,CA,,6,93,197154
407,1070,Brown County,County,OH,OH,Cincinnati,39,15,106433
1881,1071,Lincoln County,County,SD,SD,Sioux Falls,46,83,203089
2093,1072,Whitman County,County,WA,WA,Pullman,53,75,218042
1430,1073,Thomas County,County,GA,GA,Thomasville,13,275,122111
1227,1074,Monroe County,County,WI,WI,,55,81,132956
1226,1075,Monroe County,County,TN,TN,,47,123,121259
2098,1076,Windham County,County,VT,VT,,50,25,205019
262,1077,Ohio County,County,WV,WV,Wheeling,54,69,92726
2139,1078,Beltrami County,County,MN,MN,Bemidji,27,7,150506
1384,1079,Shelby County,County,IN,IN,Indianapolis-Carmel-Anderson,18,145,118782
2166,1080,Callaway County,County,MO,MO,Jefferson City,29,27,130497
295,1081,Polk County,County,WI,WI,,55,95,144964
1681,1082,Douglas County,County,WI,WI,Duluth,55,31,123767
3089,1083,Cerro Gordo County,County,IA,IA,Mason City,19,33,106624
909,1084,Camden County,County,MO,MO,,29,29,175181
